1,23/01/2023,V,ITXB4,3774,6.39,4532
2,15/01/2023,C,VAXE3,3712,78.18,4690
3,18/01/2023,V,PEXR3,313,71.73,4655
4,03/01/2023,C,BBXS3,400,77.84,4652
5,16/01/2023,C,VAXE3,312,28.46,4542
6,17/01/2023,C,VAXE3,1687,96.38,4571
7,07/01/2023,C,REXT3,2925,12.71,4690
8,19/01/2023,V,VAXE3,1574,33.55,4631
9,31/01/2023,V,ABXV3,1004,17.61,4573
10,22/01/2023,V,BBXS3,3158,1.28,4636
11,15/01/2023,V,GGXR4,2691,5.6,4652
12,25/01/2023,C,VAXE3,3606,30.72,4665
13,08/01/2023,C,ABXV3,3350,87.42,4642
14,31/01/2023,V,REXT3,3534,98.95,4638
15,14/01/2023,C,PEXR4,3346,8.6,4696
16,10/01/2023,V,GGXR4,1161,72.74,4646
17,11/01/2023,C,REXT3,745,18.97,4514
18,07/01/2023,V,MGXU3,1603,70.85,4651
19,05/01/2023,V,BBXC4,3787,57.4,4583
20,05/01/2023,V,VAXE3,204,67.06,4603
21,27/01/2023,V,BBXS3,3773,97.4,4504
22,13/01/2023,V,ABXV3,3810,42,4644
23,30/01/2023,C,GGXR4,3502,10.23,4656
24,07/01/2023,C,REXT3,753,59.76,4692
25,29/01/2023,C,PEXR4,574,86.84,4607
26,15/01/2023,V,PEXR3,2402,1.61,4667
27,28/01/2023,V,PEXR4,2909,3.28,4699
28,04/01/2023,V,GGXR4,2482,58.02,4526
29,17/01/2023,V,BBXS3,3293,62.97,4522
30,11/01/2023,V,PEXR3,1306,13.79,4523
31,20/01/2023,V,PEXR3,2611,4.85,4527
32,17/01/2023,V,BBXS3,3615,85.59,4509
33,01/01/2023,C,MGXU3,1692,26.05,4622
34,25/01/2023,C,VAXE3,3046,46.57,4511
35,11/01/2023,V,PEXR3,973,45.7,4679
36,17/01/2023,C,BBXS3,1188,56.77,4696
37,05/01/2023,C,REXT3,2493,36.73,4529
38,31/01/2023,V,REXT3,3890,23.83,4682
39,14/01/2023,C,PEXR4,1624,39.56,4510
40,25/01/2023,V,PEXR3,2582,23.08,4516
41,08/01/2023,C,PEXR3,2804,12.38,4504
